Date,Open,High,Low,Close,Adj Close,Volume
1/2/2019,12.1,12.11,11.83,11.93,11.93,65325
1/3/2019,11.88,11.92,11.69,11.69,11.69,55463
1/4/2019,11.75,11.97,11.73,11.93,11.93,58661
1/7/2019,11.95,12.67,11.94,12.65,12.65,89258
1/8/2019,12.66,12.85,12.59,12.76,12.76,101231
1/9/2019,12.78,12.94,12.63,12.87,12.87,75007
1/10/2019,12.85,12.88,12.62,12.67,12.67,63376
1/11/2019,12.7,12.91,12.68,12.78,12.78,62689
1/14/2019,12.75,12.84,12.63,12.75,12.75,41796
1/15/2019,12.76,13.19,12.72,13.16,13.16,119174
1/16/2019,13.16,13.27,13.06,13.17,13.17,65215
1/17/2019,13.12,13.15,12.83,12.85,12.85,59538
1/18/2019,12.85,13.08,12.85,13.03,13.03,67909
1/22/2019,13.08,13.08,12.82,12.93,12.93,63825
1/23/2019,12.91,13,12.86,12.97,12.97,43159
1/24/2019,12.97,13.07,12.95,12.98,12.98,55117
1/25/2019,12.99,13.01,12.37,12.44,12.44,122851
1/28/2019,12.47,12.93,12.46,12.79,12.79,93701
1/29/2019,12.79,12.85,12.58,12.69,12.69,68037
1/30/2019,12.73,12.78,12.47,12.53,12.53,57236
1/31/2019,12.55,12.85,12.54,12.73,12.73,70324
2/1/2019,12.7,12.77,12.57,12.6,12.6,48604
2/4/2019,12.64,12.89,12.51,12.85,12.85,78945
2/5/2019,12.88,12.93,12.75,12.82,12.82,51662
2/6/2019,12.77,12.91,12.77,12.9,12.9,53080
2/7/2019,12.9,12.9,12.68,12.73,12.73,91931
2/8/2019,12.74,12.85,12.69,12.71,12.71,70830
2/11/2019,12.72,12.76,12.57,12.67,12.67,100372
2/12/2019,12.7,12.92,12.7,12.85,12.85,95574
2/13/2019,12.87,12.89,12.72,12.75,12.75,72321
2/14/2019,12.77,12.8,12.52,12.61,12.61,79265
2/15/2019,12.67,13.25,12.65,13.14,13.14,98205
2/19/2019,13.14,13.38,13.14,13.35,13.35,57053
2/20/2019,13.34,13.5,13.17,13.44,13.44,47541
2/21/2019,13.4,13.42,13.16,13.24,13.24,44890
2/22/2019,13.2,13.42,13.19,13.37,13.37,29397
2/25/2019,13.37,13.41,13.05,13.1,13.1,41623
2/26/2019,13.1,13.17,12.86,12.88,12.88,27765
2/27/2019,12.9,12.95,12.82,12.91,12.91,19607
2/28/2019,12.92,12.92,12.64,12.73,12.73,58692
3/1/2019,12.85,12.88,12.61,12.62,12.62,58470
3/4/2019,12.62,12.73,12.35,12.36,12.36,83022
3/5/2019,12.39,12.56,12.38,12.44,12.44,66699
3/6/2019,12.47,12.47,12.15,12.16,12.16,79865
3/7/2019,12.2,12.26,12.08,12.14,12.14,93222
3/8/2019,12.19,12.25,12.11,12.18,12.18,78539
3/11/2019,12.21,12.47,12.2,12.29,12.29,75839
3/12/2019,12.29,12.46,12.17,12.33,12.33,64254
3/13/2019,12.35,12.38,12.24,12.36,12.36,60891
3/14/2019,12.37,12.69,12.28,12.41,12.41,65977
3/15/2019,12.44,12.58,12.26,12.52,12.52,47129
3/18/2019,12.6,12.87,12.56,12.84,12.84,81902
3/19/2019,12.83,12.83,12.64,12.78,12.78,75615
3/20/2019,12.76,12.8,12.68,12.74,12.74,43423
3/21/2019,12.74,12.74,12.45,12.5,12.5,56125
3/22/2019,12.5,12.7,12.43,12.57,12.57,60225
3/25/2019,12.59,12.61,12.33,12.48,12.48,63779
3/26/2019,12.52,12.64,12.4,12.59,12.59,47087
3/27/2019,12.59,12.73,12.49,12.58,12.58,81598
3/28/2019,12.57,12.61,12.47,12.53,12.53,53955
3/29/2019,12.55,12.65,12.49,12.53,12.53,44694
4/1/2019,12.53,12.69,12.29,12.67,12.67,76511
4/2/2019,12.66,12.77,12.57,12.66,12.66,58666
4/3/2019,12.65,12.69,12.38,12.42,12.42,77629
